,idx,image,object_count,color,shape,material,color_shape,color_material,shape_material,color_shape_material,size,all
1576,1576,be957d85be97aaed032f4617c6753745.png,7,"['green', 'blue', 'red', 'cyan', 'gray', 'cyan', 'brown']","['cylinder', 'cylinder', 'sphere', 'cube', 'cone', 'sphere', 'cylinder']","['rubber', 'metal', 'metal', 'metal', 'rubber', 'rubber', 'metal']","['green_cylinder', 'blue_cylinder', 'red_sphere', 'cyan_cube', 'gray_cone', 'cyan_sphere', 'brown_cylinder']","['green_rubber', 'blue_metal', 'red_metal', 'cyan_metal', 'gray_rubber', 'cyan_rubber', 'brown_metal']","['cylinder_rubber', 'cylinder_metal', 'sphere_metal', 'cube_metal', 'cone_rubber', 'sphere_rubber', 'cylinder_metal']","['green_cylinder_rubber', 'blue_cylinder_metal', 'red_sphere_metal', 'cyan_cube_metal', 'gray_cone_rubber', 'cyan_sphere_rubber', 'brown_cylinder_metal']","[0.351, 0.351, 0.701, 0.351, 0.351, 0.701, 0.7]","['green', 'blue', 'red', 'cyan', 'gray', 'cyan', 'brown', 'cylinder', 'cylinder', 'sphere', 'cube', 'cone', 'sphere', 'cylinder', 'rubber', 'metal', 'metal', 'metal', 'rubber', 'rubber', 'metal', 'green_cylinder', 'blue_cylinder', 'red_sphere', 'cyan_cube', 'gray_cone', 'cyan_sphere', 'brown_cylinder', 'cylinder_rubber', 'cylinder_metal', 'sphere_metal', 'cube_metal', 'cone_rubber', 'sphere_rubber', 'cylinder_metal', 'green_rubber', 'blue_metal', 'red_metal', 'cyan_metal', 'gray_rubber', 'cyan_rubber', 'brown_metal', 'green_cylinder_rubber', 'blue_cylinder_metal', 'red_sphere_metal', 'cyan_cube_metal', 'gray_cone_rubber', 'cyan_sphere_rubber', 'brown_cylinder_metal']"
1577,1577,b159c77e074ae28985bd486901e6f2eb.png,8,"['blue', 'brown', 'gray', 'gray', 'green', 'purple', 'blue', 'cyan']","['sphere', 'cone', 'sphere', 'cone', 'cylinder', 'sphere', 'cube', 'sphere']","['metal', 'metal', 'metal', 'rubber', 'rubber', 'rubber', 'metal', 'metal']","['blue_sphere', 'brown_cone', 'gray_sphere', 'gray_cone', 'green_cylinder', 'purple_sphere', 'blue_cube', 'cyan_sphere']","['blue_metal', 'brown_metal', 'gray_metal', 'gray_rubber', 'green_rubber', 'purple_rubber', 'blue_metal', 'cyan_metal']","['sphere_metal', 'cone_metal', 'sphere_metal', 'cone_rubber', 'cylinder_rubber', 'sphere_rubber', 'cube_metal', 'sphere_metal']","['blue_sphere_metal', 'brown_cone_metal', 'gray_sphere_metal', 'gray_cone_rubber', 'green_cylinder_rubber', 'purple_sphere_rubber', 'blue_cube_metal', 'cyan_sphere_metal']","[0.7, 0.351, 0.351, 0.7, 0.351, 0.7, 0.351, 0.351]","['blue', 'brown', 'gray', 'gray', 'green', 'purple', 'blue', 'cyan', 'sphere', 'cone', 'sphere', 'cone', 'cylinder', 'sphere', 'cube', 'sphere', 'metal', 'metal', 'metal', 'rubber', 'rubber', 'rubber', 'metal', 'metal', 'blue_sphere', 'brown_cone', 'gray_sphere', 'gray_cone', 'green_cylinder', 'purple_sphere', 'blue_cube', 'cyan_sphere', 'sphere_metal', 'cone_metal', 'sphere_metal', 'cone_rubber', 'cylinder_rubber', 'sphere_rubber', 'cube_metal', 'sphere_metal', 'blue_metal', 'brown_metal', 'gray_metal', 'gray_rubber', 'green_rubber', 'purple_rubber', 'blue_metal', 'cyan_metal', 'blue_sphere_metal', 'brown_cone_metal', 'gray_sphere_metal', 'gray_cone_rubber', 'green_cylinder_rubber', 'purple_sphere_rubber', 'blue_cube_metal', 'cyan_sphere_metal']"
1578,1578,4fb778a7f0aa2f2edb901505974f20b7.png,6,"['cyan', 'red', 'purple', 'blue', 'cyan', 'yellow']","['sphere', 'cube', 'cube', 'sphere', 'cylinder', 'cube']","['metal', 'metal', 'metal', 'metal', 'rubber', 'metal']","['cyan_sphere', 'red_cube', 'purple_cube', 'blue_sphere', 'cyan_cylinder', 'yellow_cube']","['cyan_metal', 'red_metal', 'purple_metal', 'blue_metal', 'cyan_rubber', 'yellow_metal']","['sphere_metal', 'cube_metal', 'cube_metal', 'sphere_metal', 'cylinder_rubber', 'cube_metal']","['cyan_sphere_metal', 'red_cube_metal', 'purple_cube_metal', 'blue_sphere_metal', 'cyan_cylinder_rubber', 'yellow_cube_metal']","[0.351, 0.7, 0.7, 0.351, 0.351, 0.351]","['cyan', 'red', 'purple', 'blue', 'cyan', 'yellow', 'sphere', 'cube', 'cube', 'sphere', 'cylinder', 'cube', 'metal', 'metal', 'metal', 'metal', 'rubber', 'metal', 'cyan_sphere', 'red_cube', 'purple_cube', 'blue_sphere', 'cyan_cylinder', 'yellow_cube', 'sphere_metal', 'cube_metal', 'cube_metal', 'sphere_metal', 'cylinder_rubber', 'cube_metal', 'cyan_metal', 'red_metal', 'purple_metal', 'blue_metal', 'cyan_rubber', 'yellow_metal', 'cyan_sphere_metal', 'red_cube_metal', 'purple_cube_metal', 'blue_sphere_metal', 'cyan_cylinder_rubber', 'yellow_cube_metal']"
1579,1579,4638fdb61fe1d85f14b4f00f02222553.png,4,"['gray', 'red', 'green', 'cyan']","['sphere', 'sphere', 'cylinder', 'sphere']","['metal', 'metal', 'rubber', 'rubber']","['gray_sphere', 'red_sphere', 'green_cylinder', 'cyan_sphere']","['gray_metal', 'red_metal', 'green_rubber', 'cyan_rubber']","['sphere_metal', 'sphere_metal', 'cylinder_rubber', 'sphere_rubber']","['gray_sphere_metal', 'red_sphere_metal', 'green_cylinder_rubber', 'cyan_sphere_rubber']","[0.701, 0.351, 0.351, 0.701]","['gray', 'red', 'green', 'cyan', 'sphere', 'sphere', 'cylinder', 'sphere', 'metal', 'metal', 'rubber', 'rubber', 'gray_sphere', 'red_sphere', 'green_cylinder', 'cyan_sphere', 'sphere_metal', 'sphere_metal', 'cylinder_rubber', 'sphere_rubber', 'gray_metal', 'red_metal', 'green_rubber', 'cyan_rubber', 'gray_sphere_metal', 'red_sphere_metal', 'green_cylinder_rubber', 'cyan_sphere_rubber']"
1580,1580,217d84bd7852a4b7de47200fccdb0bf3.png,3,"['cyan', 'blue', 'gray']","['sphere', 'cylinder', 'cube']","['metal', 'metal', 'rubber']","['cyan_sphere', 'blue_cylinder', 'gray_cube']","['cyan_metal', 'blue_metal', 'gray_rubber']","['sphere_metal', 'cylinder_metal', 'cube_rubber']","['cyan_sphere_metal', 'blue_cylinder_metal', 'gray_cube_rubber']","[0.351, 0.7, 0.701]","['cyan', 'blue', 'gray', 'sphere', 'cylinder', 'cube', 'metal', 'metal', 'rubber', 'cyan_sphere', 'blue_cylinder', 'gray_cube', 'sphere_metal', 'cylinder_metal', 'cube_rubber', 'cyan_metal', 'blue_metal', 'gray_rubber', 'cyan_sphere_metal', 'blue_cylinder_metal', 'gray_cube_rubber']"
1581,1581,11386a935b544997064b5acc5108f9de.png,7,"['gray', 'purple', 'green', 'red', 'purple', 'yellow', 'cyan']","['cylinder', 'cone', 'cube', 'cylinder', 'sphere', 'cylinder', 'cylinder']","['rubber', 'metal', 'rubber', 'rubber', 'metal', 'rubber', 'metal']","['gray_cylinder', 'purple_cone', 'green_cube', 'red_cylinder', 'purple_sphere', 'yellow_cylinder', 'cyan_cylinder']","['gray_rubber', 'purple_metal', 'green_rubber', 'red_rubber', 'purple_metal', 'yellow_rubber', 'cyan_metal']","['cylinder_rubber', 'cone_metal', 'cube_rubber', 'cylinder_rubber', 'sphere_metal', 'cylinder_rubber', 'cylinder_metal']","['gray_cylinder_rubber', 'purple_cone_metal', 'green_cube_rubber', 'red_cylinder_rubber', 'purple_sphere_metal', 'yellow_cylinder_rubber', 'cyan_cylinder_metal']","[0.7, 0.351, 0.351, 0.7, 0.7, 0.7, 0.7]","['gray', 'purple', 'green', 'red', 'purple', 'yellow', 'cyan', 'cylinder', 'cone', 'cube', 'cylinder', 'sphere', 'cylinder', 'cylinder', 'rubber', 'metal', 'rubber', 'rubber', 'metal', 'rubber', 'metal', 'gray_cylinder', 'purple_cone', 'green_cube', 'red_cylinder', 'purple_sphere', 'yellow_cylinder', 'cyan_cylinder', 'cylinder_rubber', 'cone_metal', 'cube_rubber', 'cylinder_rubber', 'sphere_metal', 'cylinder_rubber', 'cylinder_metal', 'gray_rubber', 'purple_metal', 'green_rubber', 'red_rubber', 'purple_metal', 'yellow_rubber', 'cyan_metal', 'gray_cylinder_rubber', 'purple_cone_metal', 'green_cube_rubber', 'red_cylinder_rubber', 'purple_sphere_metal', 'yellow_cylinder_rubber', 'cyan_cylinder_metal']"
1582,1582,a179e2197cc3766166f5bb736293b2e9.png,5,"['yellow', 'gray', 'cyan', 'brown', 'green']","['cube', 'cylinder', 'cone', 'cylinder', 'cylinder']","['rubber', 'metal', 'metal', 'rubber', 'rubber']","['yellow_cube', 'gray_cylinder', 'cyan_cone', 'brown_cylinder', 'green_cylinder']","['yellow_rubber', 'gray_metal', 'cyan_metal', 'brown_rubber', 'green_rubber']","['cube_rubber', 'cylinder_metal', 'cone_metal', 'cylinder_rubber', 'cylinder_rubber']","['yellow_cube_rubber', 'gray_cylinder_metal', 'cyan_cone_metal', 'brown_cylinder_rubber', 'green_cylinder_rubber']","[0.7, 0.7, 0.7, 0.7, 0.7]","['yellow', 'gray', 'cyan', 'brown', 'green', 'cube', 'cylinder', 'cone', 'cylinder', 'cylinder', 'rubber', 'metal', 'metal', 'rubber', 'rubber', 'yellow_cube', 'gray_cylinder', 'cyan_cone', 'brown_cylinder', 'green_cylinder', 'cube_rubber', 'cylinder_metal', 'cone_metal', 'cylinder_rubber', 'cylinder_rubber', 'yellow_rubber', 'gray_metal', 'cyan_metal', 'brown_rubber', 'green_rubber', 'yellow_cube_rubber', 'gray_cylinder_metal', 'cyan_cone_metal', 'brown_cylinder_rubber', 'green_cylinder_rubber']"
1583,1583,2607203b576aa85cc02e961f453470dc.png,6,"['red', 'gray', 'blue', 'brown', 'green', 'yellow']","['sphere', 'cylinder', 'cylinder', 'cylinder', 'cone', 'cylinder']","['metal', 'metal', 'rubber', 'rubber', 'metal', 'metal']","['red_sphere', 'gray_cylinder', 'blue_cylinder', 'brown_cylinder', 'green_cone', 'yellow_cylinder']","['red_metal', 'gray_metal', 'blue_rubber', 'brown_rubber', 'green_metal', 'yellow_metal']","['sphere_metal', 'cylinder_metal', 'cylinder_rubber', 'cylinder_rubber', 'cone_metal', 'cylinder_metal']","['red_sphere_metal', 'gray_cylinder_metal', 'blue_cylinder_rubber', 'brown_cylinder_rubber', 'green_cone_metal', 'yellow_cylinder_metal']","[0.7, 0.7, 0.35, 0.7, 0.351, 0.7]","['red', 'gray', 'blue', 'brown', 'green', 'yellow', 'sphere', 'cylinder', 'cylinder', 'cylinder', 'cone', 'cylinder', 'metal', 'metal', 'rubber', 'rubber', 'metal', 'metal', 'red_sphere', 'gray_cylinder', 'blue_cylinder', 'brown_cylinder', 'green_cone', 'yellow_cylinder', 'sphere_metal', 'cylinder_metal', 'cylinder_rubber', 'cylinder_rubber', 'cone_metal', 'cylinder_metal', 'red_metal', 'gray_metal', 'blue_rubber', 'brown_rubber', 'green_metal', 'yellow_metal', 'red_sphere_metal', 'gray_cylinder_metal', 'blue_cylinder_rubber', 'brown_cylinder_rubber', 'green_cone_metal', 'yellow_cylinder_metal']"
1584,1584,41a47c884016794aec07e30635c0532c.png,3,"['blue', 'cyan', 'purple']","['cube', 'cylinder', 'sphere']","['metal', 'rubber', 'metal']","['blue_cube', 'cyan_cylinder', 'purple_sphere']","['blue_metal', 'cyan_rubber', 'purple_metal']","['cube_metal', 'cylinder_rubber', 'sphere_metal']","['blue_cube_metal', 'cyan_cylinder_rubber', 'purple_sphere_metal']","[0.7, 0.351, 0.7]","['blue', 'cyan', 'purple', 'cube', 'cylinder', 'sphere', 'metal', 'rubber', 'metal', 'blue_cube', 'cyan_cylinder', 'purple_sphere', 'cube_metal', 'cylinder_rubber', 'sphere_metal', 'blue_metal', 'cyan_rubber', 'purple_metal', 'blue_cube_metal', 'cyan_cylinder_rubber', 'purple_sphere_metal']"
1585,1585,82185ae907bccd9d2a007e75762baf0e.png,10,"['brown', 'red', 'green', 'cyan', 'gray', 'gray', 'purple', 'brown', 'yellow', 'yellow']","['sphere', 'cube', 'sphere', 'sphere', 'sphere', 'cylinder', 'sphere', 'cylinder', 'cone', 'sphere']","['metal', 'rubber', 'rubber', 'metal', 'rubber', 'rubber', 'metal', 'rubber', 'metal', 'rubber']","['brown_sphere', 'red_cube', 'green_sphere', 'cyan_sphere', 'gray_sphere', 'gray_cylinder', 'purple_sphere', 'brown_cylinder', 'yellow_cone', 'yellow_sphere']","['brown_metal', 'red_rubber', 'green_rubber', 'cyan_metal', 'gray_rubber', 'gray_rubber', 'purple_metal', 'brown_rubber', 'yellow_metal', 'yellow_rubber']","['sphere_metal', 'cube_rubber', 'sphere_rubber', 'sphere_metal', 'sphere_rubber', 'cylinder_rubber', 'sphere_metal', 'cylinder_rubber', 'cone_metal', 'sphere_rubber']","['brown_sphere_metal', 'red_cube_rubber', 'green_sphere_rubber', 'cyan_sphere_metal', 'gray_sphere_rubber', 'gray_cylinder_rubber', 'purple_sphere_metal', 'brown_cylinder_rubber', 'yellow_cone_metal', 'yellow_sphere_rubber']","[0.351, 0.7, 0.351, 0.351, 0.351, 0.7, 0.351, 0.351, 0.701, 0.351]","['brown', 'red', 'green', 'cyan', 'gray', 'gray', 'purple', 'brown', 'yellow', 'yellow', 'sphere', 'cube', 'sphere', 'sphere', 'sphere', 'cylinder', 'sphere', 'cylinder', 'cone', 'sphere', 'metal', 'rubber', 'rubber', 'metal', 'rubber', 'rubber', 'metal', 'rubber', 'metal', 'rubber', 'brown_sphere', 'red_cube', 'green_sphere', 'cyan_sphere', 'gray_sphere', 'gray_cylinder', 'purple_sphere', 'brown_cylinder', 'yellow_cone', 'yellow_sphere', 'sphere_metal', 'cube_rubber', 'sphere_rubber', 'sphere_metal', 'sphere_rubber', 'cylinder_rubber', 'sphere_metal', 'cylinder_rubber', 'cone_metal', 'sphere_rubber', 'brown_metal', 'red_rubber', 'green_rubber', 'cyan_metal', 'gray_rubber', 'gray_rubber', 'purple_metal', 'brown_rubber', 'yellow_metal', 'yellow_rubber', 'brown_sphere_metal', 'red_cube_rubber', 'green_sphere_rubber', 'cyan_sphere_metal', 'gray_sphere_rubber', 'gray_cylinder_rubber', 'purple_sphere_metal', 'brown_cylinder_rubber', 'yellow_cone_metal', 'yellow_sphere_rubber']"
1586,1586,9da4d52dd22452d0c0c6abce4415f0f7.png,5,"['blue', 'gray', 'purple', 'red', 'brown']","['cube', 'cone', 'cylinder', 'cube', 'cube']","['metal', 'metal', 'metal', 'metal', 'metal']","['blue_cube', 'gray_cone', 'purple_cylinder', 'red_cube', 'brown_cube']","['blue_metal', 'gray_metal', 'purple_metal', 'red_metal', 'brown_metal']","['cube_metal', 'cone_metal', 'cylinder_metal', 'cube_metal', 'cube_metal']","['blue_cube_metal', 'gray_cone_metal', 'purple_cylinder_metal', 'red_cube_metal', 'brown_cube_metal']","[0.7, 0.7, 0.351, 0.351, 0.7]","['blue', 'gray', 'purple', 'red', 'brown', 'cube', 'cone', 'cylinder', 'cube', 'cube', 'metal', 'metal', 'metal', 'metal', 'metal', 'blue_cube', 'gray_cone', 'purple_cylinder', 'red_cube', 'brown_cube', 'cube_metal', 'cone_metal', 'cylinder_metal', 'cube_metal', 'cube_metal', 'blue_metal', 'gray_metal', 'purple_metal', 'red_metal', 'brown_metal', 'blue_cube_metal', 'gray_cone_metal', 'purple_cylinder_metal', 'red_cube_metal', 'brown_cube_metal']"
1587,1587,1ebb25a118a84e0fd57b43ec9832ff49.png,4,"['red', 'blue', 'purple', 'brown']","['cone', 'sphere', 'cylinder', 'sphere']","['rubber', 'metal', 'metal', 'metal']","['red_cone', 'blue_sphere', 'purple_cylinder', 'brown_sphere']","['red_rubber', 'blue_metal', 'purple_metal', 'brown_metal']","['cone_rubber', 'sphere_metal', 'cylinder_metal', 'sphere_metal']","['red_cone_rubber', 'blue_sphere_metal', 'purple_cylinder_metal', 'brown_sphere_metal']","[0.701, 0.351, 0.351, 0.35]","['red', 'blue', 'purple', 'brown', 'cone', 'sphere', 'cylinder', 'sphere', 'rubber', 'metal', 'metal', 'metal', 'red_cone', 'blue_sphere', 'purple_cylinder', 'brown_sphere', 'cone_rubber', 'sphere_metal', 'cylinder_metal', 'sphere_metal', 'red_rubber', 'blue_metal', 'purple_metal', 'brown_metal', 'red_cone_rubber', 'blue_sphere_metal', 'purple_cylinder_metal', 'brown_sphere_metal']"
1588,1588,52d96779a0abe81ddc76e4720d60d39e.png,8,"['cyan', 'red', 'red', 'red', 'red', 'brown', 'blue', 'yellow']","['sphere', 'cone', 'sphere', 'cube', 'cube', 'cube', 'cube', 'cylinder']","['metal', 'metal', 'metal', 'metal', 'rubber', 'rubber', 'rubber', 'rubber']","['cyan_sphere', 'red_cone', 'red_sphere', 'red_cube', 'red_cube', 'brown_cube', 'blue_cube', 'yellow_cylinder']","['cyan_metal', 'red_metal', 'red_metal', 'red_metal', 'red_rubber', 'brown_rubber', 'blue_rubber', 'yellow_rubber']","['sphere_metal', 'cone_metal', 'sphere_metal', 'cube_metal', 'cube_rubber', 'cube_rubber', 'cube_rubber', 'cylinder_rubber']","['cyan_sphere_metal', 'red_cone_metal', 'red_sphere_metal', 'red_cube_metal', 'red_cube_rubber', 'brown_cube_rubber', 'blue_cube_rubber', 'yellow_cylinder_rubber']","[0.351, 0.351, 0.351, 0.351, 0.351, 0.7, 0.351, 0.351]","['cyan', 'red', 'red', 'red', 'red', 'brown', 'blue', 'yellow', 'sphere', 'cone', 'sphere', 'cube', 'cube', 'cube', 'cube', 'cylinder', 'metal', 'metal', 'metal', 'metal', 'rubber', 'rubber', 'rubber', 'rubber', 'cyan_sphere', 'red_cone', 'red_sphere', 'red_cube', 'red_cube', 'brown_cube', 'blue_cube', 'yellow_cylinder', 'sphere_metal', 'cone_metal', 'sphere_metal', 'cube_metal', 'cube_rubber', 'cube_rubber', 'cube_rubber', 'cylinder_rubber', 'cyan_metal', 'red_metal', 'red_metal', 'red_metal', 'red_rubber', 'brown_rubber', 'blue_rubber', 'yellow_rubber', 'cyan_sphere_metal', 'red_cone_metal', 'red_sphere_metal', 'red_cube_metal', 'red_cube_rubber', 'brown_cube_rubber', 'blue_cube_rubber', 'yellow_cylinder_rubber']"
1589,1589,2b3a8c4dfe86c642408cc5d34b2e0568.png,5,"['red', 'brown', 'green', 'cyan', 'purple']","['cylinder', 'cone', 'cylinder', 'sphere', 'cube']","['rubber', 'metal', 'metal', 'metal', 'rubber']","['red_cylinder', 'brown_cone', 'green_cylinder', 'cyan_sphere', 'purple_cube']","['red_rubber', 'brown_metal', 'green_metal', 'cyan_metal', 'purple_rubber']","['cylinder_rubber', 'cone_metal', 'cylinder_metal', 'sphere_metal', 'cube_rubber']","['red_cylinder_rubber', 'brown_cone_metal', 'green_cylinder_metal', 'cyan_sphere_metal', 'purple_cube_rubber']","[0.351, 0.351, 0.7, 0.701, 0.351]","['red', 'brown', 'green', 'cyan', 'purple', 'cylinder', 'cone', 'cylinder', 'sphere', 'cube', 'rubber', 'metal', 'metal', 'metal', 'rubber', 'red_cylinder', 'brown_cone', 'green_cylinder', 'cyan_sphere', 'purple_cube', 'cylinder_rubber', 'cone_metal', 'cylinder_metal', 'sphere_metal', 'cube_rubber', 'red_rubber', 'brown_metal', 'green_metal', 'cyan_metal', 'purple_rubber', 'red_cylinder_rubber', 'brown_cone_metal', 'green_cylinder_metal', 'cyan_sphere_metal', 'purple_cube_rubber']"
1590,1590,4f8bc21a45fbb73942effeb228b59712.png,8,"['brown', 'red', 'purple', 'purple', 'cyan', 'yellow', 'green', 'blue']","['cube', 'sphere', 'sphere', 'sphere', 'cube', 'cube', 'cylinder', 'cube']","['rubber', 'rubber', 'rubber', 'metal', 'metal', 'metal', 'rubber', 'metal']","['brown_cube', 'red_sphere', 'purple_sphere', 'purple_sphere', 'cyan_cube', 'yellow_cube', 'green_cylinder', 'blue_cube']","['brown_rubber', 'red_rubber', 'purple_rubber', 'purple_metal', 'cyan_metal', 'yellow_metal', 'green_rubber', 'blue_metal']","['cube_rubber', 'sphere_rubber', 'sphere_rubber', 'sphere_metal', 'cube_metal', 'cube_metal', 'cylinder_rubber', 'cube_metal']","['brown_cube_rubber', 'red_sphere_rubber', 'purple_sphere_rubber', 'purple_sphere_metal', 'cyan_cube_metal', 'yellow_cube_metal', 'green_cylinder_rubber', 'blue_cube_metal']","[0.351, 0.351, 0.701, 0.701, 0.7, 0.351, 0.351, 0.7]","['brown', 'red', 'purple', 'purple', 'cyan', 'yellow', 'green', 'blue', 'cube', 'sphere', 'sphere', 'sphere', 'cube', 'cube', 'cylinder', 'cube', 'rubber', 'rubber', 'rubber', 'metal', 'metal', 'metal', 'rubber', 'metal', 'brown_cube', 'red_sphere', 'purple_sphere', 'purple_sphere', 'cyan_cube', 'yellow_cube', 'green_cylinder', 'blue_cube', 'cube_rubber', 'sphere_rubber', 'sphere_rubber', 'sphere_metal', 'cube_metal', 'cube_metal', 'cylinder_rubber', 'cube_metal', 'brown_rubber', 'red_rubber', 'purple_rubber', 'purple_metal', 'cyan_metal', 'yellow_metal', 'green_rubber', 'blue_metal', 'brown_cube_rubber', 'red_sphere_rubber', 'purple_sphere_rubber', 'purple_sphere_metal', 'cyan_cube_metal', 'yellow_cube_metal', 'green_cylinder_rubber', 'blue_cube_metal']"
1591,1591,c34f4ab2543b53a404e45aa86b0b164e.png,4,"['purple', 'gray', 'cyan', 'yellow']","['cylinder', 'cone', 'sphere', 'sphere']","['metal', 'metal', 'rubber', 'metal']","['purple_cylinder', 'gray_cone', 'cyan_sphere', 'yellow_sphere']","['purple_metal', 'gray_metal', 'cyan_rubber', 'yellow_metal']","['cylinder_metal', 'cone_metal', 'sphere_rubber', 'sphere_metal']","['purple_cylinder_metal', 'gray_cone_metal', 'cyan_sphere_rubber', 'yellow_sphere_metal']","[0.701, 0.351, 0.7, 0.351]","['purple', 'gray', 'cyan', 'yellow', 'cylinder', 'cone', 'sphere', 'sphere', 'metal', 'metal', 'rubber', 'metal', 'purple_cylinder', 'gray_cone', 'cyan_sphere', 'yellow_sphere', 'cylinder_metal', 'cone_metal', 'sphere_rubber', 'sphere_metal', 'purple_metal', 'gray_metal', 'cyan_rubber', 'yellow_metal', 'purple_cylinder_metal', 'gray_cone_metal', 'cyan_sphere_rubber', 'yellow_sphere_metal']"
1592,1592,1b49ccfb5cb65d714d6761df4660325c.png,6,"['cyan', 'blue', 'gray', 'red', 'yellow', 'brown']","['cylinder', 'cube', 'cylinder', 'sphere', 'cube', 'cube']","['metal', 'metal', 'rubber', 'metal', 'rubber', 'rubber']","['cyan_cylinder', 'blue_cube', 'gray_cylinder', 'red_sphere', 'yellow_cube', 'brown_cube']","['cyan_metal', 'blue_metal', 'gray_rubber', 'red_metal', 'yellow_rubber', 'brown_rubber']","['cylinder_metal', 'cube_metal', 'cylinder_rubber', 'sphere_metal', 'cube_rubber', 'cube_rubber']","['cyan_cylinder_metal', 'blue_cube_metal', 'gray_cylinder_rubber', 'red_sphere_metal', 'yellow_cube_rubber', 'brown_cube_rubber']","[0.7, 0.7, 0.701, 0.7, 0.701, 0.351]","['cyan', 'blue', 'gray', 'red', 'yellow', 'brown', 'cylinder', 'cube', 'cylinder', 'sphere', 'cube', 'cube', 'metal', 'metal', 'rubber', 'metal', 'rubber', 'rubber', 'cyan_cylinder', 'blue_cube', 'gray_cylinder', 'red_sphere', 'yellow_cube', 'brown_cube', 'cylinder_metal', 'cube_metal', 'cylinder_rubber', 'sphere_metal', 'cube_rubber', 'cube_rubber', 'cyan_metal', 'blue_metal', 'gray_rubber', 'red_metal', 'yellow_rubber', 'brown_rubber', 'cyan_cylinder_metal', 'blue_cube_metal', 'gray_cylinder_rubber', 'red_sphere_metal', 'yellow_cube_rubber', 'brown_cube_rubber']"
1593,1593,be409a125cd86a4a3a235fad4287c31e.png,5,"['gray', 'green', 'red', 'blue', 'cyan']","['cube', 'sphere', 'cylinder', 'cylinder', 'cylinder']","['metal', 'metal', 'metal', 'metal', 'metal']","['gray_cube', 'green_sphere', 'red_cylinder', 'blue_cylinder', 'cyan_cylinder']","['gray_metal', 'green_metal', 'red_metal', 'blue_metal', 'cyan_metal']","['cube_metal', 'sphere_metal', 'cylinder_metal', 'cylinder_metal', 'cylinder_metal']","['gray_cube_metal', 'green_sphere_metal', 'red_cylinder_metal', 'blue_cylinder_metal', 'cyan_cylinder_metal']","[0.7, 0.7, 0.351, 0.351, 0.351]","['gray', 'green', 'red', 'blue', 'cyan', 'cube', 'sphere', 'cylinder', 'cylinder', 'cylinder', 'metal', 'metal', 'metal', 'metal', 'metal', 'gray_cube', 'green_sphere', 'red_cylinder', 'blue_cylinder', 'cyan_cylinder', 'cube_metal', 'sphere_metal', 'cylinder_metal', 'cylinder_metal', 'cylinder_metal', 'gray_metal', 'green_metal', 'red_metal', 'blue_metal', 'cyan_metal', 'gray_cube_metal', 'green_sphere_metal', 'red_cylinder_metal', 'blue_cylinder_metal', 'cyan_cylinder_metal']"
1594,1594,c3f57ba7f09a97be1df69e8a81f2e638.png,8,"['blue', 'green', 'blue', 'purple', 'blue', 'gray', 'blue', 'red']","['sphere', 'cube', 'cube', 'cylinder', 'cube', 'cone', 'cylinder', 'cylinder']","['metal', 'rubber', 'metal', 'metal', 'rubber', 'metal', 'metal', 'metal']","['blue_sphere', 'green_cube', 'blue_cube', 'purple_cylinder', 'blue_cube', 'gray_cone', 'blue_cylinder', 'red_cylinder']","['blue_metal', 'green_rubber', 'blue_metal', 'purple_metal', 'blue_rubber', 'gray_metal', 'blue_metal', 'red_metal']","['sphere_metal', 'cube_rubber', 'cube_metal', 'cylinder_metal', 'cube_rubber', 'cone_metal', 'cylinder_metal', 'cylinder_metal']","['blue_sphere_metal', 'green_cube_rubber', 'blue_cube_metal', 'purple_cylinder_metal', 'blue_cube_rubber', 'gray_cone_metal', 'blue_cylinder_metal', 'red_cylinder_metal']","[0.701, 0.701, 0.7, 0.351, 0.7, 0.351, 0.351, 0.351]","['blue', 'green', 'blue', 'purple', 'blue', 'gray', 'blue', 'red', 'sphere', 'cube', 'cube', 'cylinder', 'cube', 'cone', 'cylinder', 'cylinder', 'metal', 'rubber', 'metal', 'metal', 'rubber', 'metal', 'metal', 'metal', 'blue_sphere', 'green_cube', 'blue_cube', 'purple_cylinder', 'blue_cube', 'gray_cone', 'blue_cylinder', 'red_cylinder', 'sphere_metal', 'cube_rubber', 'cube_metal', 'cylinder_metal', 'cube_rubber', 'cone_metal', 'cylinder_metal', 'cylinder_metal', 'blue_metal', 'green_rubber', 'blue_metal', 'purple_metal', 'blue_rubber', 'gray_metal', 'blue_metal', 'red_metal', 'blue_sphere_metal', 'green_cube_rubber', 'blue_cube_metal', 'purple_cylinder_metal', 'blue_cube_rubber', 'gray_cone_metal', 'blue_cylinder_metal', 'red_cylinder_metal']"
